stage,legacy_barcode,real_barcode,lot_no,issue_barcode,receive_date,crate_index,piece_count,net_weight,note
holo,RHO-OP-103-C001,RHO-082-C001,OP-103,IHO-082,2026-01-08,1,59,17.152,""
holo,RHO-OP-122-C001,RHO-064-C001,OP-122,IHO-064,2026-01-06,1,60,16.520,""
holo,RHO-OP-123-C001,RHO-065-C001,OP-123,IHO-065,2026-01-06,1,59,16.852,""
holo,RHO-OP-124-C001,RHO-066-C001,OP-124,IHO-066,2026-01-06,1,60,17.090,""
holo,RHO-OP-125-C001,RHO-067-C001,OP-125,IHO-067,2026-01-06,1,60,26.690,""
holo,RHO-OP-126-C001,RHO-068-C001,OP-126,IHO-068,2026-01-06,1,59,24.755,""
holo,RHO-OP-127-C001,RHO-069-C001,OP-127,IHO-069,2026-01-06,1,59,24.465,""
holo,RHO-OP-128-C001,RHO-070-C001,OP-128,IHO-070,2026-01-06,1,59,23.625,""
holo,RHO-OP-129-C001,RHO-071-C001,OP-129,IHO-071,2026-01-06,1,60,17.130,""
holo,RHO-OP-130-C001,RHO-072-C001,OP-130,IHO-072,2026-01-06,1,60,17.600,""
holo,RHO-OP-131-C001,RHO-073-C001,OP-131,IHO-073,2026-01-06,1,59,17.582,""
holo,RHO-OP-132-C001,RHO-074-C001,OP-132,IHO-074,2026-01-06,1,59,16.262,""
holo,RHO-OP-134-C001,RHO-111-C001,OP-134,IHO-111,2026-01-07,1,60,17.210,""
holo,RHO-OP-135-C001,RHO-112-C001,OP-135,IHO-112,2026-01-07,1,60,17.260,""
holo,RHO-OP-136-C001,RHO-113-C001,OP-136,IHO-113,2026-01-07,1,60,17.480,""
holo,RHO-OP-137-C001,RHO-114-C001,OP-137,IHO-114,2026-01-07,1,59,16.822,""
holo,RHO-OP-137-C002,RHO-114-C002,OP-137,IHO-114,2026-01-07,2,50,14.210,""
holo,RHO-OP-138-C001,RHO-115-C001,OP-138,IHO-115,2026-01-07,1,60,16.270,""
holo,RHO-OP-139-C001,RHO-116-C001,OP-139,IHO-116,2026-01-07,1,60,13.520,""
holo,RHO-OP-140-C001,RHO-117-C001,OP-140,IHO-117,2026-01-06,1,60,8.120,""
holo,RHO-OP-141-C001,RHO-118-C001,OP-141,IHO-118,2026-01-06,1,60,17.870,""
holo,RHO-OP-141-C002,RHO-118-C002,OP-141,IHO-118,2026-01-06,2,60,17.870,""
holo,RHO-OP-142-C001,RHO-119-C001,OP-142,IHO-119,2026-01-06,1,60,17.300,""
holo,RHO-OP-143-C001,RHO-121-C001,OP-143,IHO-121,2026-01-06,1,60,16.840,""
holo,RHO-OP-144-C001,RHO-122-C001,OP-144,IHO-122,2026-01-06,1,60,18.340,""
holo,RHO-OP-145-C001,RHO-123-C001,OP-145,IHO-123,2026-01-06,1,60,16.340,""
holo,RHO-OP-146-C001,RHO-124-C001,OP-146,IHO-124,2026-01-06,1,60,17.750,""
holo,RHO-OP-147-C001,RHO-125-C001,OP-147,IHO-125,2026-01-06,1,60,15.560,""
holo,RHO-OP-148-C001,RHO-126-C001,OP-148,IHO-126,2026-01-06,1,60,9.620,""
holo,RHO-OP-149-C001,RHO-127-C001,OP-149,IHO-127,2026-01-06,1,60,19.220,""
holo,RHO-OP-150-C001,RHO-128-C001,OP-150,IHO-128,2026-01-06,1,60,16.510,""
holo,RHO-OP-151-C001,RHO-129-C001,OP-151,IHO-129,2026-01-06,1,60,17.340,""
holo,RHO-OP-151-C002,RHO-129-C002,OP-151,IHO-129,2026-01-06,2,50,14.320,""
holo,RHO-OP-152-C001,RHO-130-C001,OP-152,IHO-130,2026-01-06,1,59,17.442,""
holo,RHO-OP-153-C001,RHO-131-C001,OP-153,IHO-131,2026-01-06,1,60,17.860,""
holo,RHO-OP-154-C001,RHO-132-C001,OP-154,IHO-132,2026-01-06,1,60,17.300,""
holo,RHO-OP-155-C001,RHO-133-C001,OP-155,IHO-133,2026-01-06,1,59,23.605,""
holo,RHO-OP-155-C002,RHO-133-C002,OP-155,IHO-133,2026-01-06,2,60,22.370,""
holo,RHO-OP-156-C001,RHO-134-C001,OP-156,IHO-134,2026-01-06,1,60,24.790,""
holo,RHO-OP-157-C001,RHO-135-C001,OP-157,IHO-135,2026-01-06,1,50,23.350,""
holo,RHO-OP-158-C001,RHO-136-C001,OP-158,IHO-136,2026-01-06,1,60,25.750,""
holo,RHO-OP-159-C001,RHO-137-C001,OP-159,IHO-137,2026-01-06,1,60,24.450,""
holo,RHO-OP-160-C001,RHO-173-C001,OP-160,IHO-173,2026-01-07,1,60,22.670,""
holo,RHO-OP-162-C001,RHO-176-C001,OP-162,IHO-176,2026-01-07,1,59,16.362,""
holo,RHO-OP-163-C001,RHO-177-C001,OP-163,IHO-177,2026-01-07,1,60,17.490,""
holo,RHO-OP-164-C001,RHO-178-C001,OP-164,IHO-178,2026-01-07,1,60,15.200,""
holo,RHO-OP-164-C002,RHO-178-C002,OP-164,IHO-178,2026-01-07,2,50,13.640,""
holo,RHO-OP-165-C001,RHO-179-C001,OP-165,IHO-179,2026-01-07,1,50,14.510,""
holo,RHO-OP-165-C002,RHO-179-C002,OP-165,IHO-179,2026-01-07,2,60,17.430,""
holo,RHO-OP-166-C001,RHO-180-C001,OP-166,IHO-180,2026-01-07,1,50,11.660,""
holo,RHO-OP-167-C001,RHO-181-C001,OP-167,IHO-181,2026-01-07,1,60,9.750,""
holo,RHO-OP-168-C001,RHO-182-C001,OP-168,IHO-182,2026-01-07,1,60,11.210,""
holo,RHO-OP-169-C001,RHO-183-C001,OP-169,IHO-183,2026-01-07,1,59,22.555,""
holo,RHO-OP-170-C001,RHO-184-C001,OP-170,IHO-184,2026-01-07,1,60,17.670,""
holo,RHO-OP-171-C001,RHO-185-C001,OP-171,IHO-185,2026-01-07,1,60,10.980,""
holo,RHO-OP-172-C001,RHO-186-C001,OP-172,IHO-186,2026-01-07,1,60,17.330,""
holo,RHO-OP-173-C001,RHO-187-C001,OP-173,IHO-187,2026-01-07,1,59,21.565,""
holo,RHO-OP-174-C001,RHO-188-C001,OP-174,IHO-188,2026-01-08,1,60,18.500,""
holo,RHO-OP-175-C001,RHO-189-C001,OP-175,IHO-189,2026-01-08,1,59,18.142,""
holo,RHO-OP-176-C001,RHO-190-C001,OP-176,IHO-190,2026-01-08,1,60,21.360,""
holo,RHO-OP-177-C001,RHO-191-C001,OP-177,IHO-191,2026-01-08,1,60,16.060,""
holo,RHO-OP-178-C001,RHO-192-C001,OP-178,IHO-192,2026-01-08,1,60,16.500,""
holo,RHO-OP-179-C001,RHO-193-C001,OP-179,IHO-193,2026-01-08,1,60,15.890,""
holo,RHO-OP-180-C001,RHO-194-C001,OP-180,IHO-194,2026-01-08,1,60,18.210,""
holo,RHO-OP-181-C001,RHO-195-C001,OP-181,IHO-195,2026-01-07,1,60,10.590,""
holo,RHO-OP-182-C001,RHO-196-C001,OP-182,IHO-196,2026-01-07,1,60,17.500,""
holo,RHO-OP-183-C001,RHO-197-C001,OP-183,IHO-197,2026-01-08,1,59,24.745,""
holo,RHO-OP-184-C001,RHO-198-C001,OP-184,IHO-198,2026-01-08,1,60,15.520,""
holo,RHO-OP-185-C001,RHO-199-C001,OP-185,IHO-199,2026-01-08,1,30,1.540,""
holo,RHO-OP-186-C001,RHO-200-C001,OP-186,IHO-200,2026-01-08,1,50,21.470,""
holo,RHO-OP-187-C001,RHO-201-C001,OP-187,IHO-201,2026-01-08,1,50,12.240,""
holo,RHO-OP-188-C001,RHO-202-C001,OP-188,IHO-202,2026-01-08,1,60,18.610,""
holo,RHO-OP-189-C001,RHO-203-C001,OP-189,IHO-203,2026-01-08,1,64,24.402,""
holo,RHO-OP-190-C001,RHO-204-C001,OP-190,IHO-204,2026-01-08,1,59,24.905,""
holo,RHO-OP-191-C001,RHO-205-C001,OP-191,IHO-205,2026-01-08,1,60,20.570,""
holo,RHO-OP-192-C001,RHO-206-C001,OP-192,IHO-206,2026-01-08,1,20,5.930,""
holo,RHO-OP-193-C001,RHO-207-C001,OP-193,IHO-207,2026-01-08,1,60,17.660,""
holo,RHO-OP-194-C001,RHO-208-C001,OP-194,IHO-208,2026-01-08,1,50,21.300,""
holo,RHO-OP-195-C001,RHO-209-C001,OP-195,IHO-209,2026-01-08,1,48,21.550,""
holo,RHO-OP-196-C001,RHO-210-C001,OP-196,IHO-210,2026-01-08,1,50,22.240,""
holo,RHO-OP-197-C001,RHO-211-C001,OP-197,IHO-211,2026-01-08,1,50,8.580,""
holo,RHO-OP-683-C001,RHO-697-C001,OP-683,IHO-697,25/11/2025,1,24,6.204,""
holo,RHO-OP-683-C002,RHO-697-C002,OP-683,IHO-697,25/11/2025,2,36,12.136,""
holo,RHO-OP-683-C003,RHO-697-C003,OP-683,IHO-697,25/11/2025,3,33,11.748,""
holo,RHO-OP-683-C004,RHO-697-C004,OP-683,IHO-697,25/11/2025,4,33,11.528,""
holo,RHO-OP-683-C005,RHO-697-C005,OP-683,IHO-697,25/11/2025,5,52,12.082,""
holo,RHO-OP-683-C006,RHO-697-C006,OP-683,IHO-697,25/11/2025,6,36,12.356,""
holo,RHO-OP-684-C001,RHO-698-C001,OP-684,IHO-698,20/12/2025,1,6,0.316,""
holo,RHO-OP-685-C001,RHO-699-C001,OP-685,IHO-699,25/07/2025,1,59,16.182,""
holo,RHO-OP-685-C002,RHO-699-C002,OP-685,IHO-699,25/07/2025,2,60,14.330,""
holo,RHO-OP-685-C003,RHO-699-C003,OP-685,IHO-699,25/07/2025,3,60,15.700,""
holo,RHO-OP-685-C004,RHO-699-C004,OP-685,IHO-699,25/07/2025,4,59,16.422,""
holo,RHO-OP-685-C005,RHO-699-C005,OP-685,IHO-699,25/07/2025,5,60,17.340,""
holo,RHO-OP-685-C006,RHO-699-C006,OP-685,IHO-699,25/07/2025,6,60,17.550,""
holo,RHO-OP-685-C007,RHO-699-C007,OP-685,IHO-699,25/07/2025,7,60,17.630,""
holo,RHO-OP-685-C008,RHO-699-C008,OP-685,IHO-699,25/07/2025,8,60,16.830,""
holo,RHO-OP-685-C009,RHO-699-C009,OP-685,IHO-699,25/07/2025,9,60,16.960,""
holo,RHO-OP-685-C010,RHO-699-C010,OP-685,IHO-699,25/07/2025,10,60,17.530,""
holo,RHO-OP-686-C001,RHO-700-C001,OP-686,IHO-700,19/09/2025,1,60,12.860,""
holo,RHO-OP-687-C001,RHO-701-C001,OP-687,IHO-701,11/10/2025,1,59,12.532,""
holo,RHO-OP-687-C002,RHO-701-C002,OP-687,IHO-701,11/10/2025,2,59,12.862,""
